feature,fold_count,fold_pct,stability
hu_p75_max,10,1.0,ROBUST
sharpness_max,10,1.0,ROBUST
brain_fraction_mean,9,0.9,ROBUST
csf_fraction_mean,9,0.9,ROBUST
high_hu_fraction_max,8,0.8,ROBUST
sharpness_mean,8,0.8,ROBUST
hist_entropy_mean,7,0.7,ROBUST
bone_fraction_max,6,0.6,MODERATE
glcm_correlation_mean,5,0.5,MODERATE
hu_p90_max,4,0.4,MODERATE
glcm_contrast_mean,3,0.3,UNSTABLE
hist_peak_hu_mean,3,0.3,UNSTABLE
bone_fraction_mean,3,0.3,UNSTABLE
brain_fraction_max,2,0.2,UNSTABLE
hist_entropy_max,2,0.2,UNSTABLE
glcm_asm_mean,2,0.2,UNSTABLE
high_hu_fraction_mean,2,0.2,UNSTABLE
hu_skewness_mean,1,0.1,UNSTABLE
hist_iqr_mean,1,0.1,UNSTABLE
hu_p25_mean,1,0.1,UNSTABLE
hist_peak_hu_max,1,0.1,UNSTABLE
hu_kurtosis_max,1,0.1,UNSTABLE
hu_skewness_max,1,0.1,UNSTABLE
glcm_energy_max,1,0.1,UNSTABLE
hu_p25_max,0,0.0,UNSTABLE
hu_p90_mean,0,0.0,UNSTABLE
hu_std_max,0,0.0,UNSTABLE
hu_mean_max,0,0.0,UNSTABLE
hu_mean_mean,0,0.0,UNSTABLE
hu_p75_mean,0,0.0,UNSTABLE
hu_std_mean,0,0.0,UNSTABLE
hu_kurtosis_mean,0,0.0,UNSTABLE
hu_p10_mean,0,0.0,UNSTABLE
hu_p10_max,0,0.0,UNSTABLE
glcm_contrast_max,0,0.0,UNSTABLE
hist_energy_mean,0,0.0,UNSTABLE
glcm_asm_max,0,0.0,UNSTABLE
glcm_homogeneity_mean,0,0.0,UNSTABLE
glcm_energy_mean,0,0.0,UNSTABLE
glcm_correlation_max,0,0.0,UNSTABLE
glcm_dissimilarity_mean,0,0.0,UNSTABLE
glcm_dissimilarity_max,0,0.0,UNSTABLE
glcm_homogeneity_max,0,0.0,UNSTABLE
hist_energy_max,0,0.0,UNSTABLE
air_fraction_mean,0,0.0,UNSTABLE
air_fraction_max,0,0.0,UNSTABLE
csf_fraction_max,0,0.0,UNSTABLE
hist_iqr_max,0,0.0,UNSTABLE
noise_estimate_mean,0,0.0,UNSTABLE
noise_estimate_max,0,0.0,UNSTABLE
